********************************************************************************
Field Output Report, written Tue Jul 04 09:15:07 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_UNIAX_ELASTIC_elem_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           499      750.E-03        -1.125
           500            1.        -1.125
           501          1.25        -1.125
           502           1.5        -1.125
           503          1.75        -1.125
           504            2.        -1.125
           505          2.25        -1.125
           506           2.5        -1.125
           507          2.75        -1.125
           508            3.        -1.125
           509          3.25        -1.125
           510           3.5        -1.125
           511          3.75        -1.125
           512            4.        -1.125
           513          4.25        -1.125
           514           4.5        -1.125
           515          4.75        -1.125
           516            5.        -1.125
           517          5.25        -1.125
           518           5.5        -1.125
           519          5.75        -1.125
           520            6.        -1.125
           521          6.25        -1.125
           522           6.5        -1.125
           523          6.75        -1.125
           524            7.        -1.125
           525          7.25        -1.125
           526           7.5        -1.125
           527          7.75        -1.125
           528            8.        -1.125
           529     1.250E-33        -1.200
           530      250.E-03        -1.200
           531      500.E-03        -1.200
           532      750.E-03        -1.200
           533            1.        -1.200
           534          1.25        -1.200
           535           1.5        -1.200
           536          1.75        -1.200
           537            2.        -1.200
           538          2.25        -1.200
           539           2.5        -1.200
           540          2.75        -1.200
           541            3.        -1.200
           542          3.25        -1.200
           543           3.5        -1.200
           544          3.75        -1.200
           545            4.        -1.200
           546          4.25        -1.200
           547           4.5        -1.200
           548          4.75        -1.200
           549            5.        -1.200
           550          5.25        -1.200
           551           5.5        -1.200
           552          5.75        -1.200
           553            6.        -1.200
           554          6.25        -1.200
           555           6.5        -1.200
           556          6.75        -1.200
           557            7.        -1.200
           558          7.25        -1.200
           559           7.5        -1.200
           560          7.75        -1.200
           561            8.        -1.200
           562     1.250E-33        -1.275
           563      250.E-03        -1.275
           564      500.E-03        -1.275
           565      750.E-03        -1.275
           566            1.        -1.275
           567          1.25        -1.275
           568           1.5        -1.275
           569          1.75        -1.275
           570            2.        -1.275
           571          2.25        -1.275
           572           2.5        -1.275
           573          2.75        -1.275
           574            3.        -1.275
           575          3.25        -1.275
           576           3.5        -1.275
           577          3.75        -1.275
           578            4.        -1.275
           579          4.25        -1.275
           580           4.5        -1.275
           581          4.75        -1.275
           582            5.        -1.275
           583          5.25        -1.275
           584           5.5        -1.275
           585          5.75        -1.275
           586            6.        -1.275
           587          6.25        -1.275
           588           6.5        -1.275
           589          6.75        -1.275
           590            7.        -1.275
           591          7.25        -1.275
           592           7.5        -1.275
           593          7.75        -1.275
           594            8.        -1.275
           595     1.250E-33        -1.350
           596      250.E-03        -1.350
           597      500.E-03        -1.350
           598      750.E-03        -1.350
           599            1.        -1.350
           600          1.25        -1.350
           601           1.5        -1.350
           602          1.75        -1.350
           603            2.        -1.350
           604          2.25        -1.350
           605           2.5        -1.350
           606          2.75        -1.350
           607            3.        -1.350
           608          3.25        -1.350
           609           3.5        -1.350
           610          3.75        -1.350
           611            4.        -1.350
           612          4.25        -1.350
           613           4.5        -1.350
           614          4.75        -1.350
           615            5.        -1.350
           616          5.25        -1.350
           617           5.5        -1.350
           618          5.75        -1.350
           619            6.        -1.350
           620          6.25        -1.350
           621           6.5        -1.350
           622          6.75        -1.350
           623            7.        -1.350
           624          7.25        -1.350
           625           7.5        -1.350
           626          7.75        -1.350
           627            8.        -1.350
           628     1.250E-33        -1.425
           629      250.E-03        -1.425
           630      500.E-03        -1.425
           631      750.E-03        -1.425
           632            1.        -1.425
           633          1.25        -1.425
           634           1.5        -1.425
           635          1.75        -1.425
           636            2.        -1.425
           637          2.25        -1.425
           638           2.5        -1.425
           639          2.75        -1.425
           640            3.        -1.425
           641          3.25        -1.425
           642           3.5        -1.425
           643          3.75        -1.425
           644            4.        -1.425
           645          4.25        -1.425
           646           4.5        -1.425
           647          4.75        -1.425
           648            5.        -1.425
           649          5.25        -1.425
           650           5.5        -1.425
           651          5.75        -1.425
           652            6.        -1.425
           653          6.25        -1.425
           654           6.5        -1.425
           655          6.75        -1.425
           656            7.        -1.425
           657          7.25        -1.425
           658           7.5        -1.425
           659          7.75        -1.425
           660            8.        -1.425
           661     1.250E-33          -1.5
           662      250.E-03          -1.5
           663      500.E-03          -1.5
           664      750.E-03          -1.5
           665            1.          -1.5
           666          1.25          -1.5
           667           1.5          -1.5
           668          1.75          -1.5
           669            2.          -1.5
           670          2.25          -1.5
           671           2.5          -1.5
           672          2.75          -1.5
           673            3.          -1.5
           674          3.25          -1.5
           675           3.5          -1.5
           676          3.75          -1.5
           677            4.          -1.5
           678          4.25          -1.5
           679           4.5          -1.5
           680          4.75          -1.5
           681            5.          -1.5
           682          5.25          -1.5
           683           5.5          -1.5
           684          5.75          -1.5
           685            6.          -1.5
           686          6.25          -1.5
           687           6.5          -1.5
           688          6.75          -1.5
           689            7.          -1.5
           690          7.25          -1.5
           691           7.5          -1.5
           692          7.75          -1.5
           693            8.          -1.5
           694     1.250E-33        -1.575
           695      250.E-03        -1.575
           696      500.E-03        -1.575
           697      750.E-03        -1.575
           698            1.        -1.575
           699          1.25        -1.575
           700           1.5        -1.575
           701          1.75        -1.575
           702            2.        -1.575
           703          2.25        -1.575
           704           2.5        -1.575
           705          2.75        -1.575
           706            3.        -1.575
           707          3.25        -1.575
           708           3.5        -1.575
           709          3.75        -1.575
           710            4.        -1.575
           711          4.25        -1.575
           712           4.5        -1.575
           713          4.75        -1.575
           714            5.        -1.575
           715          5.25        -1.575
           716           5.5        -1.575
           717          5.75        -1.575
           718            6.        -1.575
           719          6.25        -1.575
           720           6.5        -1.575
           721          6.75        -1.575
           722            7.        -1.575
           723          7.25        -1.575
           724           7.5        -1.575
           725          7.75        -1.575
           726            8.        -1.575
           727     1.250E-33        -1.650
           728      250.E-03        -1.650
           729      500.E-03        -1.650
           730      750.E-03        -1.650
           731            1.        -1.650
           732          1.25        -1.650
           733           1.5        -1.650
           734          1.75        -1.650
           735            2.        -1.650
           736          2.25        -1.650
           737           2.5        -1.650
           738          2.75        -1.650
           739            3.        -1.650
           740          3.25        -1.650
           741           3.5        -1.650
           742          3.75        -1.650
           743            4.        -1.650
           744          4.25        -1.650
           745           4.5        -1.650
           746          4.75        -1.650
           747            5.        -1.650
           748          5.25        -1.650
           749           5.5        -1.650
           750          5.75        -1.650
           751            6.        -1.650
           752          6.25        -1.650
           753           6.5        -1.650
           754          6.75        -1.650
           755            7.        -1.650
           756          7.25        -1.650
           757           7.5        -1.650
           758          7.75        -1.650
           759            8.        -1.650
           760     1.250E-33        -1.725
           761      250.E-03        -1.725
           762      500.E-03        -1.725
           763      750.E-03        -1.725
           764            1.        -1.725
           765          1.25        -1.725
           766           1.5        -1.725
           767          1.75        -1.725
           768            2.        -1.725
           769          2.25        -1.725
           770           2.5        -1.725
           771          2.75        -1.725
           772            3.        -1.725
           773          3.25        -1.725
           774           3.5        -1.725
           775          3.75        -1.725
           776            4.        -1.725
           777          4.25        -1.725
           778           4.5        -1.725
           779          4.75        -1.725
           780            5.        -1.725
           781          5.25        -1.725
           782           5.5        -1.725
           783          5.75        -1.725
           784            6.        -1.725
           785          6.25        -1.725
           786           6.5        -1.725
           787          6.75        -1.725
           788            7.        -1.725
           789          7.25        -1.725
           790           7.5        -1.725
           791          7.75        -1.725
           792            8.        -1.725
           793           -0.        -1.800
           794      250.E-03        -1.800
           795      500.E-03        -1.800
           796      750.E-03        -1.800
           797            1.        -1.800
           798          1.25        -1.800
           799           1.5        -1.800
           800          1.75        -1.800
           801            2.        -1.800
           802          2.25        -1.800
           803           2.5        -1.800
           804          2.75        -1.800
           805            3.        -1.800
           806          3.25        -1.800
           807           3.5        -1.800
           808          3.75        -1.800
           809            4.        -1.800
           810          4.25        -1.800
           811           4.5        -1.800
           812          4.75        -1.800
           813            5.        -1.800
           814          5.25        -1.800
           815           5.5        -1.800
           816          5.75        -1.800
           817            6.        -1.800
           818          6.25        -1.800
           819           6.5        -1.800
           820          6.75        -1.800
           821            7.        -1.800
           822          7.25        -1.800
           823           7.5        -1.800
           824          7.75        -1.800
           825            8.        -1.800


  Minimum                -0.        -1.800
       At Node           793           825

  Maximum                 8.           -0.
       At Node           825            33

         Total       3.3E+03        -742.5


