********************************************************************************
Field Output Report, written Wed Jul 05 10:40:49 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           433    -27.49E-03     498.2E-03
           434    -36.36E-03     700.3E-03
           435    -45.08E-03     919.0E-03
           436    -53.56E-03         1.153
           437    -61.69E-03         1.400
           438    -69.32E-03         1.660
           439    -76.33E-03         1.930
           440    -82.62E-03         2.210
           441    -88.07E-03         2.497
           442    -92.63E-03         2.790
           443    -96.22E-03         3.088
           444    -98.82E-03         3.390
           445    -100.4E-03         3.694
           446    -100.9E-03            4.
           447    -100.4E-03         4.306
           448    -98.82E-03         4.610
           449    -96.22E-03         4.912
           450    -92.63E-03         5.210
           451    -88.07E-03         5.503
           452    -82.62E-03         5.790
           453    -76.33E-03         6.070
           454    -69.32E-03         6.340
           455    -61.69E-03         6.600
           456    -53.56E-03         6.847
           457    -45.08E-03         7.081
           458    -36.36E-03         7.300
           459    -27.49E-03         7.502
           460    -18.51E-03         7.686
           461    -9.379E-03         7.852
           462     71.30E-36            8.
           463     52.82E-36     77.52E-36
           464    -18.99E-03     147.0E-03
           465    -37.50E-03     313.0E-03
           466    -55.74E-03     497.7E-03
           467    -73.77E-03     700.3E-03
           468    -91.50E-03     919.5E-03
           469    -108.7E-03         1.154
           470    -125.2E-03         1.402
           471    -140.7E-03         1.662
           472    -154.8E-03         1.932
           473    -167.5E-03         2.212
           474    -178.5E-03         2.498
           475    -187.7E-03         2.791
           476    -194.9E-03         3.089
           477    -200.1E-03         3.391
           478    -203.3E-03         3.695
           479    -204.3E-03            4.
           480    -203.3E-03         4.305
           481    -200.1E-03         4.609
           482    -194.9E-03         4.911
           483    -187.7E-03         5.209
           484    -178.5E-03         5.502
           485    -167.5E-03         5.788
           486    -154.8E-03         6.068
           487    -140.7E-03         6.338
           488    -125.2E-03         6.598
           489    -108.7E-03         6.846
           490    -91.50E-03         7.080
           491    -73.77E-03         7.300
           492    -55.74E-03         7.502
           493    -37.50E-03         7.687
           494    -18.99E-03         7.853
           495     52.82E-36            8.
           496     33.13E-36     70.88E-36
           497    -29.08E-03     146.0E-03
           498    -57.50E-03     311.8E-03
           499    -85.58E-03     497.1E-03
           500    -113.4E-03     700.5E-03
           501    -140.7E-03     920.6E-03
           502    -167.2E-03         1.156
           503    -192.4E-03         1.404
           504    -216.1E-03         1.665
           505    -237.7E-03         1.935
           506    -257.0E-03         2.215
           507    -273.7E-03         2.501
           508    -287.6E-03         2.794
           509    -298.6E-03         3.091
           510    -306.5E-03         3.392
           511    -311.2E-03         3.696
           512    -312.8E-03            4.
           513    -311.2E-03         4.304
           514    -306.5E-03         4.608
           515    -298.6E-03         4.909
           516    -287.6E-03         5.206
           517    -273.7E-03         5.499
           518    -257.0E-03         5.785
           519    -237.7E-03         6.065
           520    -216.1E-03         6.335
           521    -192.4E-03         6.596
           522    -167.2E-03         6.844
           523    -140.7E-03         7.079
           524    -113.4E-03         7.300
           525    -85.58E-03         7.503
           526    -57.50E-03         7.688
           527    -29.08E-03         7.854
           528     33.13E-36            8.
           529     11.81E-36     63.51E-36
           530    -39.92E-03     144.7E-03
           531    -79.10E-03     310.6E-03
           532    -117.9E-03     496.7E-03
           533    -156.4E-03     701.4E-03
           534    -194.2E-03     922.9E-03
           535    -230.7E-03         1.159
           536    -265.5E-03         1.409
           537    -297.9E-03         1.669
           538    -327.4E-03         1.940
           539    -353.6E-03         2.219
           540    -376.2E-03         2.505
           541    -395.0E-03         2.797
           542    -409.7E-03         3.094
           543    -420.3E-03         3.394
           544    -426.7E-03         3.696
           545    -428.9E-03            4.
           546    -426.7E-03         4.304
           547    -420.3E-03         4.606
           548    -409.7E-03         4.906
           549    -395.0E-03         5.203
           550    -376.2E-03         5.495
           551    -353.6E-03         5.781
           552    -327.4E-03         6.060
           553    -297.9E-03         6.331
           554    -265.5E-03         6.591
           555    -230.7E-03         6.841
           556    -194.2E-03         7.077
           557    -156.4E-03         7.299
           558    -117.9E-03         7.503
           559    -79.10E-03         7.689
           560    -39.92E-03         7.855
           561     11.81E-36            8.
           562    -11.63E-36     55.29E-36
           563    -51.86E-03     143.4E-03
           564    -103.0E-03     309.6E-03
           565    -153.9E-03     497.2E-03
           566    -204.4E-03     703.8E-03
           567    -253.8E-03     927.0E-03
           568    -301.5E-03         1.165
           569    -346.6E-03         1.415
           570    -388.3E-03         1.676
           571    -426.2E-03         1.947
           572    -459.6E-03         2.226
           573    -488.4E-03         2.511
           574    -512.2E-03         2.802
           575    -530.9E-03         3.098
           576    -544.3E-03         3.397
           577    -552.4E-03         3.698
           578    -555.1E-03            4.
           579    -552.4E-03         4.302
           580    -544.3E-03         4.603
           581    -530.9E-03         4.902
           582    -512.2E-03         5.198
           583    -488.4E-03         5.489
           584    -459.6E-03         5.774
           585    -426.2E-03         6.053
           586    -388.3E-03         6.324
           587    -346.6E-03         6.585
           588    -301.5E-03         6.835
           589    -253.8E-03         7.073
           590    -204.4E-03         7.296
           591    -153.9E-03         7.503
           592    -103.0E-03         7.690
           593    -51.86E-03         7.857
           594    -11.63E-36            8.
           595    -37.78E-36     46.13E-36
           596    -65.32E-03     142.2E-03
           597    -130.2E-03     309.6E-03
           598    -195.0E-03     499.4E-03
           599    -259.2E-03     708.6E-03
           600    -322.0E-03     934.0E-03
           601    -382.0E-03         1.173
           602    -438.3E-03         1.424
           603    -490.1E-03         1.686
           604    -536.8E-03         1.956
           605    -577.9E-03         2.234
           606    -613.0E-03         2.518
           607    -642.0E-03         2.808
           608    -664.7E-03         3.102
