********************************************************************************
Field Output Report, written Fri Jun 30 12:56:54 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           668    -669.2E-03         1.458
           669    -737.0E-03         1.712
           670    -807.4E-03         1.986
           671    -860.9E-03         2.256
           672    -912.0E-03         2.541
           673    -949.6E-03         2.824
           674    -981.9E-03         3.116
           675        -1.003         3.408
           676        -1.017         3.704
           677        -1.021            4.
           678        -1.017         4.296
           679        -1.003         4.592
           680    -981.9E-03         4.884
           681    -949.6E-03         5.176
           682    -912.0E-03         5.459
           683    -860.9E-03         5.744
           684    -807.4E-03         6.014
           685    -737.0E-03         6.288
           686    -669.2E-03         6.542
           687    -579.4E-03         6.800
           688    -499.9E-03         7.035
           689    -392.5E-03         7.273
           690    -306.5E-03         7.483
           691    -193.2E-03         7.686
           692    -102.6E-03         7.858
           693    -339.8E-36            8.
           694    -514.6E-36     46.90E-36
           695    -116.8E-03     144.0E-03
           696    -255.7E-03     329.4E-03
           697    -363.0E-03     527.2E-03
           698    -502.4E-03     759.2E-03
           699    -603.5E-03     980.6E-03
           700    -719.1E-03         1.231
           701    -806.0E-03         1.474
           702    -897.4E-03         1.739
           703    -967.6E-03         1.999
           704        -1.036         2.276
           705        -1.088         2.551
           706        -1.135         2.837
           707        -1.168         3.123
           708        -1.194         3.415
           709        -1.209         3.706
           710        -1.214            4.
           711        -1.209         4.294
           712        -1.194         4.585
           713        -1.168         4.877
           714        -1.135         5.163
           715        -1.088         5.449
           716        -1.036         5.724
           717    -967.6E-03         6.001
           718    -897.4E-03         6.261
           719    -806.0E-03         6.526
           720    -719.1E-03         6.769
           721    -603.5E-03         7.019
           722    -502.4E-03         7.241
           723    -363.0E-03         7.473
           724    -255.7E-03         7.671
           725    -116.8E-03         7.856
           726    -514.6E-36            8.
           727    -636.6E-36     47.26E-36
           728    -163.0E-03     156.1E-03
           729    -297.3E-03     342.1E-03
           730    -481.5E-03     572.6E-03
           731    -609.4E-03     779.8E-03
           732    -756.5E-03         1.022
           733    -866.0E-03         1.252
           734    -981.7E-03         1.508
           735        -1.071         1.757
           736        -1.160         2.025
           737        -1.229         2.291
           738        -1.292         2.570
           739        -1.340         2.848
           740        -1.380         3.134
           741        -1.407         3.420
           742        -1.424         3.710
           743        -1.429            4.
           744        -1.424         4.290
           745        -1.407         4.580
           746        -1.380         4.866
           747        -1.340         5.152
           748        -1.292         5.430
           749        -1.229         5.709
           750        -1.160         5.975
           751        -1.071         6.243
           752    -981.7E-03         6.492
           753    -866.0E-03         6.748
           754    -756.5E-03         6.978
           755    -609.4E-03         7.220
           756    -481.5E-03         7.427
           757    -297.3E-03         7.658
           758    -163.0E-03         7.844
           759    -636.6E-36            8.
           760    -1.205E-33     62.86E-36
           761    -180.1E-03     168.6E-03
           762    -434.9E-03     409.8E-03
           763    -596.8E-03     600.4E-03
           764    -781.9E-03     834.8E-03
           765    -917.2E-03         1.050
           766        -1.061         1.295
           767        -1.172         1.532
           768        -1.283         1.790
           769        -1.371         2.045
           770        -1.453         2.315
           771        -1.518         2.584
           772        -1.574         2.863
           773        -1.616         3.143
           774        -1.647         3.428
           775        -1.664         3.713
           776        -1.671            4.
           777        -1.664         4.287
           778        -1.647         4.572
           779        -1.616         4.857
           780        -1.574         5.137
           781        -1.518         5.416
           782        -1.453         5.685
           783        -1.371         5.955
           784        -1.283         6.210
           785        -1.172         6.468
           786        -1.061         6.705
           787    -917.2E-03         6.950
           788    -781.9E-03         7.165
           789    -596.8E-03         7.400
           790    -434.9E-03         7.590
           791    -180.1E-03         7.831
           792    -1.205E-33            8.
           793            0.           -0.
           794    -375.7E-03     272.4E-03
           795    -573.7E-03     447.4E-03
           796    -801.3E-03     670.2E-03
           797    -963.5E-03     871.4E-03
           798        -1.137         1.103
           799        -1.271         1.327
           800        -1.406         1.573
           801        -1.515         1.817
           802        -1.618         2.076
           803        -1.701         2.335
           804        -1.776         2.606
           805        -1.834         2.877
           806        -1.881         3.155
           807        -1.913         3.434
           808        -1.933         3.717
           809        -1.939            4.
           810        -1.933         4.283
           811        -1.913         4.566
           812        -1.881         4.845
           813        -1.834         5.123
           814        -1.776         5.394
           815        -1.701         5.665
           816        -1.618         5.924
           817        -1.515         6.183
           818        -1.406         6.427
           819        -1.271         6.673
           820        -1.137         6.897
           821    -963.5E-03         7.129
           822    -801.3E-03         7.330
           823    -573.7E-03         7.553
           824    -375.7E-03         7.728
           825           -0.            8.


  Minimum             -1.939           -0.
       At Node           809           793

  Maximum              1.939            8.
       At Node            17           825

         Total            0.     3.300E+03


